epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,591.075,1.94316,2.06112,2.92,0,0,0,0,2.03854,4.43599,4.19269,0.000894254,0.000894254,0.000894254
17,625.66,2.23748,2.25646,3.02236,0,0,0,0,2.03748,4.43637,4.212,0.000939975,0.000939975,0.000939975
18,661.057,2.21209,2.18576,2.97434,0,0,0,0,2.03419,4.40177,4.22264,0.000984375,0.000984375,0.000984375
19,695.325,2.15834,2.04256,2.7343,0,0,0,0,2.03212,4.38854,4.22721,0.00102746,0.00102746,0.00102746
20,728.57,2.0765,1.90931,2.73825,0,0,0,0,2.02743,4.37693,4.22645,0.00106922,0.00106922,0.00106922
21,764.528,1.94568,2.11905,2.6327,0,0,0,0,2.00782,4.33857,4.22666,0.00110966,0.00110966,0.00110966
22,797.992,2.07574,2.08708,2.70316,0,0,0,0,1.97413,4.27794,4.17817,0.00114877,0.00114877,0.00114877
23,832.124,2.09157,2.09559,2.70404,0.00126,0.2,0.0012,0.00093,1.89508,4.22694,4.11725,0.00118657,0.00118657,0.00118657
24,866.376,1.98959,1.93376,2.6857,0.00275,0.4,0.25892,0.17525,1.86468,4.01553,3.93784,0.00122305,0.00122305,0.00122305
25,901.677,1.85855,1.7763,2.58376,1,0.19452,0.38639,0.248,1.72558,3.79587,3.72741,0.00125821,0.00125821,0.00125821
26,936.027,1.70159,1.63632,2.4701,0.91569,0.5,0.4975,0.34766,1.76262,3.64822,3.7083,0.00125442,0.00125442,0.00125442
27,970.01,1.81393,1.66306,2.42025,1,0.47126,0.4975,0.38586,1.8159,3.677,3.71458,0.00123791,0.00123791,0.00123791
28,1004.06,1.77729,1.56934,2.37368,0.0039,0.5,0.37859,0.11582,2.06636,4.05145,3.84128,0.00122141,0.00122141,0.00122141
29,1038.89,1.81366,1.86533,2.37902,0.00396,0.5,0.3584,0.10011,2.10681,4.15524,3.84028,0.00120491,0.00120491,0.00120491
30,1072.98,1.61382,1.62756,2.34468,0.00419,0.5,0.4975,0.17998,1.99351,4.10149,3.74217,0.0011884,0.0011884,0.0011884
31,1106.71,1.64145,1.51205,2.33111,0.03677,0.5,0.40893,0.2804,1.95462,4.00154,3.6712,0.0011719,0.0011719,0.0011719
32,1142.01,1.62553,1.66215,2.28512,0.0043,0.5,0.46,0.23458,2.0344,4.09242,3.64426,0.0011554,0.0011554,0.0011554
33,1177.09,1.57787,1.44711,2.24055,0.00344,0.4,0.20364,0.0658,2.03156,4.2116,3.65211,0.00113889,0.00113889,0.00113889
34,1209.75,1.60627,1.53787,2.17997,0.00453,0.49091,0.00479,0.00224,1.89899,4.17391,3.59262,0.00112239,0.00112239,0.00112239
35,1251.86,1.77634,1.48507,2.36642,0.0062,0.68182,0.41081,0.18902,1.83021,3.94258,3.41197,0.00110589,0.00110589,0.00110589
36,1287.73,1.58067,1.51763,2.28098,0.47996,0.4,0.49776,0.38921,1.84584,3.55,3.24437,0.00108938,0.00108938,0.00108938
37,1321.52,1.58923,1.43229,2.22308,0.53599,0.42323,0.64532,0.49112,1.77743,3.15318,3.04579,0.00107288,0.00107288,0.00107288
38,1356.76,1.57865,1.39655,2.27066,0.76845,0.51892,0.67408,0.56334,1.60978,2.97315,2.84999,0.00105638,0.00105638,0.00105638
39,1390.94,1.61301,1.38224,2.34607,0.87721,0.3318,0.69452,0.52408,1.5234,2.98197,2.74871,0.00103987,0.00103987,0.00103987
40,1426.08,1.68451,1.45054,2.49525,0.79126,0.19122,0.63732,0.42973,1.45484,3.00506,2.66608,0.00102337,0.00102337,0.00102337
41,1457.87,1.82823,1.6824,2.44234,0.8289,0.26305,0.70301,0.4878,1.31637,2.62518,2.51258,0.00100687,0.00100687,0.00100687
42,1491.1,1.76511,1.4866,2.31346,0.7918,0.71818,0.78034,0.59855,1.21638,2.11331,2.32367,0.000990365,0.000990365,0.000990365
43,1524.44,1.60508,1.42271,2.25726,0.80068,0.71818,0.85491,0.59741,1.04165,1.66429,2.00189,0.000973861,0.000973861,0.000973861
44,1559.63,1.50494,1.34631,2.11908,0.84193,0.75052,0.89094,0.5919,1.09863,1.6515,1.99481,0.000957358,0.000957358,0.000957358
45,1593.73,1.75922,1.44736,2.38813,0.85073,0.85853,0.92496,0.62278,1.03504,1.64632,1.95779,0.000940855,0.000940855,0.000940855
46,1628.11,1.38286,1.27576,2.0804,0.94701,0.90104,0.95525,0.6357,1.23295,1.52819,2.0782,0.000924352,0.000924352,0.000924352
47,1661.34,1.7474,1.48154,2.34618,0.98077,0.90732,0.96437,0.70917,1.09125,1.39638,1.95971,0.000907848,0.000907848,0.000907848
48,1696.9,1.70272,1.34752,2.30085,0.95385,0.89986,0.97891,0.80224,0.86593,1.31654,1.8282,0.000891345,0.000891345,0.000891345
49,1731.41,1.60738,1.39385,2.17922,0.94468,0.89667,0.97685,0.75271,0.95004,1.33342,1.88212,0.000874842,0.000874842,0.000874842
50,1765.65,1.343,1.13522,1.99975,0.96853,0.86364,0.95172,0.67844,1.14413,1.35233,2.00125,0.000858338,0.000858338,0.000858338
51,1798.71,1.5157,1.27248,2.17467,0.98977,0.86364,0.95302,0.68515,1.13286,1.34493,1.98889,0.000841835,0.000841835,0.000841835
52,1834.4,1.46663,1.23749,2.12476,0.94244,0.90156,0.97786,0.80373,0.86613,1.2749,1.80783,0.000825332,0.000825332,0.000825332
53,1868.92,1.45882,1.20481,2.14492,0.91965,1,0.995,0.84657,0.84291,1.22954,1.71682,0.000808828,0.000808828,0.000808828
54,1903.19,1.50663,1.27094,2.04537,0.92905,1,0.995,0.7358,1.05973,1.30956,1.81585,0.000792325,0.000792325,0.000792325
55,1937.2,1.20231,0.98728,1.82436,0.92019,1,0.995,0.76405,1.07143,1.24223,1.82401,0.000775822,0.000775822,0.000775822
56,1971.93,1.47038,1.2251,2.01332,0.93342,1,0.995,0.8137,0.91963,1.22521,1.73092,0.000759318,0.000759318,0.000759318
57,2005.48,1.31654,1.07931,1.94824,0.94089,1,0.995,0.82091,0.77934,1.24008,1.63005,0.000742815,0.000742815,0.000742815
58,2040.48,1.33724,1.05815,1.97495,0.92134,0.99187,0.995,0.85382,0.75879,1.25503,1.60813,0.000726312,0.000726312,0.000726312
59,2074.27,1.53024,1.22248,2.1234,0.93688,1,0.995,0.83621,0.77466,1.11219,1.57974,0.000709809,0.000709809,0.000709809
60,2108.15,1.26127,1.09545,1.84006,0.96796,1,0.995,0.89314,0.72596,0.98807,1.52434,0.000693305,0.000693305,0.000693305
61,2142.29,1.20908,1.03022,1.84179,0.98077,1,0.995,0.7923,0.86165,0.99025,1.56782,0.000676802,0.000676802,0.000676802
62,2184.49,1.31411,1.06259,1.87874,0.98322,1,0.995,0.82189,0.90062,1.01676,1.60688,0.000660299,0.000660299,0.000660299
63,2221.38,1.27142,1.02603,1.84283,0.96219,0.99506,0.995,0.83413,0.78709,0.98767,1.57546,0.000643795,0.000643795,0.000643795
64,2255.86,1.28689,0.9947,1.90965,0.93037,0.99322,0.995,0.84535,0.71316,0.98873,1.53206,0.000627292,0.000627292,0.000627292
65,2290.77,1.25706,1.05286,1.8889,0.92329,0.98972,0.995,0.86399,0.64461,1.0481,1.51389,0.000610789,0.000610789,0.000610789
66,2325.05,1.10846,1.00724,1.70971,0.92606,0.9873,0.995,0.85723,0.65586,1.03853,1.53851,0.000594286,0.000594286,0.000594286
67,2359.13,1.15413,0.97227,1.74339,0.92788,1,0.995,0.85409,0.72318,1.01962,1.53283,0.000577782,0.000577782,0.000577782
68,2391.59,1.25336,1.12879,1.85166,0.9505,1,0.995,0.85623,0.69218,0.93893,1.48194,0.000561279,0.000561279,0.000561279
69,2424.78,1.27413,1.08693,1.89958,0.97032,0.99565,0.995,0.82855,0.71642,0.91946,1.49461,0.000544776,0.000544776,0.000544776
70,2457.71,1.09369,0.97078,1.75195,0.96878,0.99825,0.995,0.82449,0.8262,0.95129,1.5596,0.000528272,0.000528272,0.000528272
71,2490.02,1.14673,0.94507,1.73339,0.94636,1,0.995,0.78971,1.03463,1.0181,1.71604,0.000511769,0.000511769,0.000511769
72,2523.32,1.11954,1.01426,1.75244,0.94728,1,0.995,0.84376,0.86368,0.9736,1.62088,0.000495266,0.000495266,0.000495266
73,2555.73,1.23843,0.97657,1.81791,0.95174,0.99928,0.995,0.87924,0.57952,0.90731,1.41655,0.000478762,0.000478762,0.000478762
74,2592.15,1.17559,0.92128,1.80473,0.95089,1,0.995,0.89522,0.48594,0.86208,1.36475,0.000462259,0.000462259,0.000462259
75,2627.11,1.23618,0.91116,1.80675,0.9536,0.99715,0.995,0.85184,0.68513,0.92418,1.45611,0.000445756,0.000445756,0.000445756
76,2661.73,1.14157,0.97495,1.7557,0.95528,1,0.995,0.82121,0.84685,0.93562,1.54499,0.000429253,0.000429253,0.000429253
77,2694.6,1.12631,0.89976,1.72931,0.96321,1,0.995,0.86404,0.71347,0.88041,1.45476,0.000412749,0.000412749,0.000412749
78,2729.46,1.08003,0.84864,1.70572,0.96595,0.99861,0.995,0.95311,0.53808,0.84929,1.35775,0.000396246,0.000396246,0.000396246
79,2765.7,1.24098,0.93929,1.85279,0.96726,0.99713,0.995,0.97251,0.48292,0.82312,1.34021,0.000379743,0.000379743,0.000379743
80,2800.58,1.14945,0.94398,1.7685,0.96977,0.99585,0.995,0.92193,0.56846,0.82093,1.39903,0.000363239,0.000363239,0.000363239
81,2834.98,1.19381,0.96619,1.76997,0.97328,0.99634,0.995,0.89606,0.62185,0.7999,1.42325,0.000346736,0.000346736,0.000346736
82,2870.25,1.17434,0.88871,1.77459,0.97667,0.99785,0.995,0.89606,0.57695,0.78186,1.38451,0.000330233,0.000330233,0.000330233
83,2904.84,1.19974,0.95824,1.78947,0.97834,1,0.995,0.94396,0.46692,0.74484,1.30533,0.000313729,0.000313729,0.000313729
84,2939.12,0.97225,0.82194,1.57183,0.97667,1,0.995,0.93928,0.42803,0.69333,1.25399,0.000297226,0.000297226,0.000297226
85,2972.45,1.15049,0.97343,1.68749,0.97592,1,0.995,0.93461,0.43173,0.70176,1.23708,0.000280723,0.000280723,0.000280723
86,3006.53,0.87464,0.88163,1.52094,0.97739,1,0.995,0.94692,0.48079,0.72407,1.26407,0.00026422,0.00026422,0.00026422
87,3040.76,0.97648,0.84609,1.53304,0.98113,1,0.995,0.88265,0.6429,0.76343,1.34684,0.000247716,0.000247716,0.000247716
88,3075.88,1.01507,0.80798,1.60774,0.98354,1,0.995,0.83899,0.74969,0.78502,1.40611,0.000231213,0.000231213,0.000231213
89,3117.91,0.95753,0.82274,1.54558,0.98389,1,0.995,0.82393,0.79017,0.78608,1.42542,0.00021471,0.00021471,0.00021471
90,3153.21,1.02344,0.93839,1.62151,0.9855,1,0.995,0.86902,0.71033,0.76993,1.36457,0.000198206,0.000198206,0.000198206
91,3188.66,0.83442,0.98701,1.45433,0.98429,1,0.995,0.89701,0.54821,0.73041,1.28591,0.000181703,0.000181703,0.000181703
92,3227.62,0.72929,0.94443,1.38944,0.97822,0.9968,0.995,0.93514,0.46025,0.71922,1.23243,0.0001652,0.0001652,0.0001652
93,3263.57,0.69572,1.04555,1.41665,0.97503,0.99669,0.995,0.93901,0.50066,0.71308,1.22527,0.000148696,0.000148696,0.000148696
94,3296.37,0.62665,0.87997,1.29211,0.97522,1,0.995,0.91211,0.54013,0.7405,1.22879,0.000132193,0.000132193,0.000132193
95,3330.45,0.66522,0.95588,1.31659,0.97629,1,0.995,0.91798,0.53195,0.74534,1.21978,0.00011569,0.00011569,0.00011569
96,3366.64,0.61522,0.95157,1.30642,0.97918,1,0.995,0.93234,0.50161,0.73887,1.20554,9.91865e-05,9.91865e-05,9.91865e-05
97,3401.49,0.648,0.89325,1.24226,0.98109,1,0.995,0.92878,0.47506,0.72239,1.19046,8.26832e-05,8.26832e-05,8.26832e-05
98,3435.61,0.58127,0.85417,1.24304,0.98395,1,0.995,0.91677,0.46796,0.72644,1.18616,6.61799e-05,6.61799e-05,6.61799e-05
99,3469.36,0.54622,0.84349,1.203,0.98636,1,0.995,0.92613,0.47685,0.72257,1.19075,4.96766e-05,4.96766e-05,4.96766e-05
100,3504.13,0.58994,0.93959,1.27448,0.98715,1,0.995,0.92613,0.48037,0.71812,1.18813,3.31733e-05,3.31733e-05,3.31733e-05
